"Project.ID","Survey.ID","Study.Area.ID","Study.Area","Study.Area.Visit.ID","Design.Component.ID","Design.Component.Label","Design.Component.Visit.ID","Year","Visit.Start.Date","Visit.Start.Time","Nights.Deployed","Design.Component.Visit.Note","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Taxonomic.Unit.ID","Species.Code","Animal.ID","Count","Survey.Observation.Note","Survey.Observation.ID","Detection.Type.Code","Detection.Direction..deg.","Detection.Distance..m.","Temporary.Animal.ID","Life.Stage.Code","Sex.Code","Activity.Code","Feature.Type","Feature.Label","Feature.Count","Sign.Type.Code","Sign.or.Sample.Age.Code","Sign.Count","Group.Label","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Juvenile.Males","Juvenile.Females","Juveniles...Unclassified.Sex","Males...Unclassified.Life.Stage","Females...Unclassified.Life.Stage","Unclassified.Life.Stage.and.Sex","Eggs","Egg.Masses","Larvae","Pupae","Hatchlings","Fledglings"
5569,35361,32704,"Lakelse Lake Park",39599,258846,"1",577372,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530550,6026197,-128.52961,54.38263,"Transect - Start",2008,"M-TAHU",NA,1,"",1374814,"CA",NA,30,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258846,"1",577372,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530550,6026197,-128.52961,54.38263,"Transect - Start",2008,"M-TAHU",NA,1,"",1374815,"CA",NA,20,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258846,"1",577372,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530550,6026197,-128.52961,54.38263,"Transect - Start",2008,"M-TAHU",NA,1,"",1374816,"CA",NA,15,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258846,"1",577372,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530550,6026197,-128.52961,54.38263,"Transect - Start",2008,"M-TAHU",NA,1,"",1374817,"CA",NA,10,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258846,"1",577372,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530550,6026197,-128.52961,54.38263,"Transect - Start",2008,"M-TAHU",NA,1,"",1374818,"CA",NA,10,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258846,"1",577372,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530550,6026197,-128.52961,54.38263,"Transect - Start",2008,"M-TAHU",NA,1,"",1374819,"CA",NA,10,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258847,"2",577375,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530346,6026145,-128.53276,54.38218,"Transect - Start",2008,"M-TAHU",NA,1,"",1374820,"CA",NA,15,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258847,"2",577375,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530346,6026145,-128.53276,54.38218,"Transect - Start",2008,"M-TAHU",NA,1,"",1374821,"CA",NA,25,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258849,"4",577381,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529991,6026237,-128.53822,54.38303,"Transect - Start",2008,"M-TAHU",NA,0,"Midden",1374823,"SI",NA,2,NA,NA,NA,NA,NA,NA,NA,"FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258849,"4",577381,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529991,6026237,-128.53822,54.38303,"Transect - Start",2008,"M-TAHU",NA,1,"",1374824,"CA",NA,10,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258849,"4",577381,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529991,6026237,-128.53822,54.38303,"Transect - Start",2008,"M-TAHU",NA,0,"Midden",1374825,"SI",NA,10,NA,NA,NA,NA,NA,NA,NA,"FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258849,"4",577381,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529991,6026237,-128.53822,54.38303,"Transect - Start",2008,"M-TAHU",NA,1,"",1374826,"CA",NA,30,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258849,"4",577381,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529991,6026237,-128.53822,54.38303,"Transect - Start",2008,"M-TAHU",NA,1,"",1374827,"CA",NA,20,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258850,"5",577384,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529886,6026410,-128.53982,54.38459,"Transect - Start",2008,"M-TAHU",NA,1,"",1374828,"CA",NA,15,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258850,"5",577384,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,529886,6026410,-128.53982,54.38459,"Transect - Start",2008,"M-TAHU",NA,1,"",1374829,"CA",NA,15,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5569,35361,32704,"Lakelse Lake Park",39599,258848,"3",577378,"2017","2017-09-03T00:00:00Z",1300,NA,NA,23,"Dan Schneider",9,530035,6026074,-128.53756,54.38156,"Transect - Start",27855,"NULL",NA,0,"No squirrels observed on this transect",1374822,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
